value
1.32
1.32
1.28
1.35
1.35
1.38
1.45
1.53
1.60
1.61
1.62
1.73
1.75
1.82
1.85
1.88
1.91
1.92
1.94
1.97
1.99
2.01
2.03
2.05
2.07
2.09
2.10
2.12
2.13
2.14
