value
1.162
1.162
1.161
1.160
1.159
1.158
1.157
1.156
1.154
1.153
1.153
1.152
1.151
1.150
1.149
1.148
1.148
1.146
1.145
1.145
1.144
1.143
1.143
1.142
1.141
1.141
1.140
1.139
1.139
1.138
